pestname;value;week;SectionId;Section
Sciara;1;14;24;Afdeling 15
Sciara;1;32;24;Afdeling 15
Sciara;1;15;24;Afdeling 15
Sciara;1;47;24;Afdeling 15
Sciara;1;31;24;Afdeling 15
Sciara;1;13;24;Afdeling 15
Sciara;1;7;24;Afdeling 15
Sciara;1;32;23;Afdeling 14
Sciara;1;33;23;Afdeling 14
Sciara;1;51;23;Afdeling 14
Sciara;1;32;23;Afdeling 14
Sciara;1;17;23;Afdeling 14
Sciara;1;16;23;Afdeling 14
Sciara;1;7;23;Afdeling 14
Sciara;1;51;22;Afdeling 13
Sciara;1;47;22;Afdeling 13
Sciara;1;47;22;Afdeling 13
Sciara;1;44;22;Afdeling 13
Sciara;1;44;22;Afdeling 13
Sciara;1;31;22;Afdeling 13
Sciara;1;47;22;Afdeling 13
Sciara;1;6;22;Afdeling 13
Sciara;1;7;22;Afdeling 13
Sciara;1;43;21;Afdeling 12
Sciara;1;11;21;Afdeling 12
Sciara;1;44;21;Afdeling 12
Sciara;1;44;21;Afdeling 12
Sciara;1;6;21;Afdeling 12
Sciara;1;17;21;Afdeling 12
Sciara;1;13;21;Afdeling 12
Sciara;1;4;21;Afdeling 12
Sciara;1;40;20;Afdeling 11
Sciara;1;27;20;Afdeling 11
Sciara;1;15;20;Afdeling 11
Sciara;1;6;20;Afdeling 11
Sciara;1;7;20;Afdeling 11
Sciara;1;17;20;Afdeling 11
Sciara;1;32;18;Afdeling 10
Sciara;1;51;18;Afdeling 10
Sciara;1;40;18;Afdeling 10
Sciara;1;33;18;Afdeling 10
Sciara;1;32;18;Afdeling 10
Sciara;1;6;18;Afdeling 10
Sciara;1;11;18;Afdeling 10
Sciara;1;51;18;Afdeling 10
Sciara;1;51;18;Afdeling 10
Sciara;1;50;18;Afdeling 10
Sciara;1;31;18;Afdeling 10
Sciara;1;31;18;Afdeling 10
Sciara;1;13;18;Afdeling 10
Sciara;1;47;18;Afdeling 10
Sciara;1;11;18;Afdeling 10
Sciara;1;7;18;Afdeling 10
Sciara;1;45;17;Afdeling 9
Sciara;1;49;17;Afdeling 9
Sciara;1;15;17;Afdeling 9
Sciara;1;13;17;Afdeling 9
Sciara;1;43;16;Afdeling 8
Sciara;1;49;16;Afdeling 8
Sciara;1;47;16;Afdeling 8
Sciara;1;48;16;Afdeling 8
Sciara;1;31;16;Afdeling 8
Sciara;1;51;16;Afdeling 8
Sciara;1;32;16;Afdeling 8
Sciara;1;18;16;Afdeling 8
Sciara;1;15;16;Afdeling 8
Sciara;1;14;16;Afdeling 8
Sciara;1;14;16;Afdeling 8
Sciara;1;13;16;Afdeling 8
Sciara;1;47;16;Afdeling 8
Sciara;1;31;16;Afdeling 8
Sciara;1;13;16;Afdeling 8
Sciara;1;32;15;Afdeling 7
Sciara;1;17;15;Afdeling 7
Sciara;1;15;15;Afdeling 7
Sciara;1;40;15;Afdeling 7
Sciara;1;40;15;Afdeling 7
Sciara;1;18;15;Afdeling 7
Sciara;1;15;15;Afdeling 7
Sciara;1;32;15;Afdeling 7
Sciara;1;31;15;Afdeling 7
Sciara;1;32;15;Afdeling 7
Sciara;1;43;14;Afdeling 6
Sciara;1;43;14;Afdeling 6
Sciara;1;42;14;Afdeling 6
Sciara;1;48;14;Afdeling 6
Sciara;1;31;14;Afdeling 6
Sciara;1;17;14;Afdeling 6
Sciara;1;17;14;Afdeling 6
Sciara;1;32;14;Afdeling 6
Sciara;1;40;14;Afdeling 6
Sciara;1;40;14;Afdeling 6
Sciara;1;6;14;Afdeling 6
Sciara;1;13;14;Afdeling 6
Sciara;1;46;13;Afdeling 5
Sciara;1;49;13;Afdeling 5
Sciara;1;49;13;Afdeling 5
Sciara;1;47;13;Afdeling 5
Sciara;1;34;13;Afdeling 5
Sciara;1;32;13;Afdeling 5
Sciara;1;49;12;Afdeling 4
Sciara;1;51;12;Afdeling 4
Sciara;1;16;12;Afdeling 4
Sciara;1;32;12;Afdeling 4
Sciara;1;33;11;Afdeling 3
Sciara;1;15;11;Afdeling 3
Sciara;1;18;11;Afdeling 3
Sciara;1;15;11;Afdeling 3
Sciara;1;17;11;Afdeling 3
Sciara;1;42;11;Afdeling 3
Sciara;1;13;11;Afdeling 3
Sciara;1;13;11;Afdeling 3
Sciara;1;46;10;Afdeling 2
Sciara;1;40;10;Afdeling 2
Sciara;1;18;10;Afdeling 2
Sciara;1;11;10;Afdeling 2
Sciara;1;17;10;Afdeling 2
Sciara;1;48;10;Afdeling 2
Sciara;1;48;10;Afdeling 2
Sciara;1;42;10;Afdeling 2
Sciara;1;29;10;Afdeling 2
Sciara;1;16;10;Afdeling 2
Sciara;1;13;10;Afdeling 2
Sciara;1;16;10;Afdeling 2
Sciara;1;49;9;Afdeling 1
Sciara;1;43;9;Afdeling 1
Sciara;1;42;9;Afdeling 1
Sciara;1;40;9;Afdeling 1
Sciara;1;40;9;Afdeling 1
Sciara;1;40;9;Afdeling 1
Sciara;1;24;9;Afdeling 1
Sciara;1;24;9;Afdeling 1
Sciara;1;23;9;Afdeling 1
Sciara;1;18;9;Afdeling 1
Sciara;1;18;9;Afdeling 1
Sciara;1;15;9;Afdeling 1
Sciara;1;6;9;Afdeling 1
Sciara;1;23;9;Afdeling 1
Sciara;1;16;9;Afdeling 1
Sciara;1;14;9;Afdeling 1
Sciara;1;44;9;Afdeling 1
Sciara;0;49;27;Afdeling 18
Sciara;0;49;27;Afdeling 18
Sciara;0;48;27;Afdeling 18
Sciara;0;48;27;Afdeling 18
Sciara;0;43;27;Afdeling 18
Sciara;0;42;27;Afdeling 18
Sciara;0;42;27;Afdeling 18
Sciara;0;40;27;Afdeling 18
Sciara;0;40;27;Afdeling 18
Sciara;0;26;27;Afdeling 18
Sciara;0;26;27;Afdeling 18
Sciara;0;24;27;Afdeling 18
Sciara;0;24;27;Afdeling 18
Sciara;0;23;27;Afdeling 18
Sciara;0;23;27;Afdeling 18
Sciara;0;22;27;Afdeling 18
Sciara;0;9;27;Afdeling 18
Sciara;0;9;27;Afdeling 18
Sciara;0;22;27;Afdeling 18
Sciara;0;47;27;Afdeling 18
Sciara;0;25;27;Afdeling 18
Sciara;0;25;27;Afdeling 18
Sciara;0;42;26;Afdeling 17
Sciara;0;24;26;Afdeling 17
Sciara;0;24;26;Afdeling 17
Sciara;0;43;26;Afdeling 17
Sciara;0;43;26;Afdeling 17
Sciara;0;40;26;Afdeling 17
Sciara;0;24;26;Afdeling 17
Sciara;0;51;26;Afdeling 17
Sciara;0;51;26;Afdeling 17
Sciara;0;48;26;Afdeling 17
Sciara;0;42;26;Afdeling 17
Sciara;0;42;26;Afdeling 17
Sciara;0;26;26;Afdeling 17
Sciara;0;25;26;Afdeling 17
Sciara;0;23;26;Afdeling 17
Sciara;0;23;26;Afdeling 17
Sciara;0;22;26;Afdeling 17
Sciara;0;22;26;Afdeling 17
Sciara;0;23;26;Afdeling 17
Sciara;0;22;26;Afdeling 17
Sciara;0;49;26;Afdeling 17
Sciara;0;51;26;Afdeling 17
Sciara;0;49;26;Afdeling 17
Sciara;0;49;26;Afdeling 17
Sciara;0;43;26;Afdeling 17
Sciara;0;42;26;Afdeling 17
Sciara;0;43;26;Afdeling 17
Sciara;0;40;26;Afdeling 17
Sciara;0;42;26;Afdeling 17
Sciara;0;40;26;Afdeling 17
Sciara;0;40;26;Afdeling 17
Sciara;0;40;26;Afdeling 17
Sciara;0;40;26;Afdeling 17
Sciara;0;26;26;Afdeling 17
Sciara;0;24;26;Afdeling 17
Sciara;0;23;26;Afdeling 17
Sciara;0;18;26;Afdeling 17
Sciara;0;18;26;Afdeling 17
Sciara;0;9;26;Afdeling 17
Sciara;0;9;26;Afdeling 17
Sciara;0;9;26;Afdeling 17
Sciara;0;9;26;Afdeling 17
Sciara;0;48;26;Afdeling 17
Sciara;0;26;26;Afdeling 17
Sciara;0;48;26;Afdeling 17
Sciara;0;48;26;Afdeling 17
Sciara;0;47;26;Afdeling 17
Sciara;0;42;26;Afdeling 17
Sciara;0;26;26;Afdeling 17
Sciara;0;26;26;Afdeling 17
Sciara;0;25;26;Afdeling 17
Sciara;0;26;26;Afdeling 17
Sciara;0;25;26;Afdeling 17
Sciara;0;22;26;Afdeling 17
Sciara;0;25;26;Afdeling 17
Sciara;0;25;26;Afdeling 17
Sciara;0;25;26;Afdeling 17
Sciara;0;48;25;Afdeling 16
Sciara;0;26;25;Afdeling 16
Sciara;0;25;25;Afdeling 16
Sciara;0;49;25;Afdeling 16
Sciara;0;18;25;Afdeling 16
Sciara;0;15;25;Afdeling 16
Sciara;0;51;25;Afdeling 16
